goos: darwin
goarch: arm64
pkg: github.com/Ixecd/kubepivot/benchmark/eventstream
cpu: Apple M4
BenchmarkColdStart_ClientGo-4          	      19	  59915757 ns/op	34921500 B/op	  517027 allocs/op
BenchmarkColdStart_ClientGo-4          	      19	  61855807 ns/op	34921384 B/op	  517027 allocs/op
BenchmarkColdStart_ClientGo-4          	      19	  60114912 ns/op	34920954 B/op	  517027 allocs/op
BenchmarkColdStart_ClientGo-4          	      19	  62592993 ns/op	34921005 B/op	  517027 allocs/op
BenchmarkColdStart_ClientGo-4          	      19	  60184868 ns/op	34921379 B/op	  517027 allocs/op
BenchmarkColdStart_ClientGo-4          	      19	  60489737 ns/op	34920956 B/op	  517027 allocs/op
BenchmarkColdStart_ClientGo-4          	      19	  61184250 ns/op	34920949 B/op	  517027 allocs/op
BenchmarkColdStart_ClientGo-4          	      18	  61584000 ns/op	34921427 B/op	  517027 allocs/op
BenchmarkColdStart_ClientGo-4          	      18	  64479817 ns/op	34920981 B/op	  517027 allocs/op
BenchmarkColdStart_KubePivot-4         	      34	  34179071 ns/op	 4097707 B/op	   88516 allocs/op
BenchmarkColdStart_KubePivot-4         	      34	  35040404 ns/op	 4097710 B/op	   88516 allocs/op
BenchmarkColdStart_KubePivot-4         	      33	  35080336 ns/op	 4097465 B/op	   88516 allocs/op
BenchmarkColdStart_KubePivot-4         	      34	  34782069 ns/op	 4097713 B/op	   88516 allocs/op
BenchmarkColdStart_KubePivot-4         	      33	  34844144 ns/op	 4097715 B/op	   88516 allocs/op
BenchmarkColdStart_KubePivot-4         	      32	  35077419 ns/op	 4097721 B/op	   88516 allocs/op
BenchmarkColdStart_KubePivot-4         	      33	  34431819 ns/op	 4097466 B/op	   88516 allocs/op
BenchmarkColdStart_KubePivot-4         	      34	  33982745 ns/op	 4099881 B/op	   88516 allocs/op
BenchmarkColdStart_KubePivot-4         	      34	  34032738 ns/op	 4097468 B/op	   88516 allocs/op
BenchmarkColdStart_KubePivot-4         	      34	  34607950 ns/op	 4097706 B/op	   88516 allocs/op
BenchmarkColdStart_ClientGo_10000-4    	       2	 619943104 ns/op	348912616 B/op	 5170086 allocs/op
BenchmarkColdStart_ClientGo_10000-4    	       2	 644256770 ns/op	348912592 B/op	 5170086 allocs/op
BenchmarkColdStart_ClientGo_10000-4    	       2	 670050625 ns/op	348912632 B/op	 5170086 allocs/op
BenchmarkColdStart_ClientGo_10000-4    	       2	 634801042 ns/op	348912600 B/op	 5170086 allocs/op
BenchmarkColdStart_ClientGo_10000-4    	       2	 644644916 ns/op	348908512 B/op	 5170086 allocs/op
BenchmarkColdStart_ClientGo_10000-4    	       2	 627462520 ns/op	348908568 B/op	 5170086 allocs/op
BenchmarkColdStart_ClientGo_10000-4    	       2	 627593000 ns/op	348912648 B/op	 5170086 allocs/op
BenchmarkColdStart_ClientGo_10000-4    	       2	 650941354 ns/op	348916720 B/op	 5170087 allocs/op
BenchmarkColdStart_ClientGo_10000-4    	       2	 672762480 ns/op	348912616 B/op	 5170086 allocs/op
BenchmarkColdStart_ClientGo_10000-4    	       2	 742580396 ns/op	348908536 B/op	 5170086 allocs/op
BenchmarkColdStart_KubePivot_10000-4   	       2	1707980625 ns/op	40727288 B/op	  880666 allocs/op
BenchmarkColdStart_KubePivot_10000-4   	       3	 341665375 ns/op	40723202 B/op	  880666 allocs/op
BenchmarkColdStart_KubePivot_10000-4   	       3	 340184236 ns/op	40723208 B/op	  880666 allocs/op
BenchmarkColdStart_KubePivot_10000-4   	       3	 347265611 ns/op	40725928 B/op	  880666 allocs/op
BenchmarkColdStart_KubePivot_10000-4   	       3	 344616861 ns/op	40723192 B/op	  880666 allocs/op
BenchmarkColdStart_KubePivot_10000-4   	       3	 339896917 ns/op	40725922 B/op	  880666 allocs/op
