goos: darwin
goarch: arm64
pkg: github.com/Ixecd/kubepivot/benchmark/eventstream
cpu: Apple M4
BenchmarkCacheGet_ClientGo-4           	14855697	        72.02 ns/op	      24 B/op	       1 allocs/op
BenchmarkCacheGet_ClientGo-4           	23088198	        53.48 ns/op	      24 B/op	       1 allocs/op
BenchmarkCacheGet_ClientGo-4           	23847020	        44.49 ns/op	      24 B/op	       1 allocs/op
BenchmarkCacheGet_ClientGo-4           	28986789	        50.49 ns/op	      24 B/op	       1 allocs/op
BenchmarkCacheGet_ClientGo-4           	29677594	        48.23 ns/op	      24 B/op	       1 allocs/op
BenchmarkCacheGet_ClientGo-4           	30574741	        41.85 ns/op	      24 B/op	       1 allocs/op
BenchmarkCacheGet_ClientGo-4           	30626632	        44.05 ns/op	      24 B/op	       1 allocs/op
BenchmarkCacheGet_ClientGo-4           	28122884	        44.41 ns/op	      24 B/op	       1 allocs/op
BenchmarkCacheGet_ClientGo-4           	29168986	        42.56 ns/op	      24 B/op	       1 allocs/op
BenchmarkCacheGet_ClientGo-4           	23990722	        49.94 ns/op	      24 B/op	       1 allocs/op
BenchmarkCacheGet_KubePivot-4          	81669158	        13.91 ns/op	       4 B/op	       1 allocs/op
BenchmarkCacheGet_KubePivot-4          	94883846	        14.38 ns/op	       4 B/op	       1 allocs/op
BenchmarkCacheGet_KubePivot-4          	87981376	        14.59 ns/op	       4 B/op	       1 allocs/op
BenchmarkCacheGet_KubePivot-4          	89484069	        14.77 ns/op	       4 B/op	       1 allocs/op
BenchmarkCacheGet_KubePivot-4          	76261492	        14.79 ns/op	       4 B/op	       1 allocs/op
BenchmarkCacheGet_KubePivot-4          	80956951	        14.56 ns/op	       4 B/op	       1 allocs/op
BenchmarkCacheGet_KubePivot-4          	92997122	        14.16 ns/op	       4 B/op	       1 allocs/op
BenchmarkCacheGet_KubePivot-4          	85645462	        14.98 ns/op	       4 B/op	       1 allocs/op
BenchmarkCacheGet_KubePivot-4          	88805017	        14.78 ns/op	       4 B/op	       1 allocs/op
BenchmarkCacheGet_KubePivot-4          	95685836	        14.60 ns/op	       4 B/op	       1 allocs/op
BenchmarkCacheList_ClientGo-4          	  153793	      6812 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheList_ClientGo-4          	  174502	      6609 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheList_ClientGo-4          	  159118	      6754 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheList_ClientGo-4          	  158034	      6775 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheList_ClientGo-4          	  161214	      6815 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheList_ClientGo-4          	  170380	      6758 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheList_ClientGo-4          	  166268	      6918 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheList_ClientGo-4          	  168304	      6927 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheList_ClientGo-4          	  167883	      6790 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheList_ClientGo-4          	  154303	      6605 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheList_KubePivot-4         	  115491	      9615 ns/op	    8192 B/op	       1 allocs/op
BenchmarkCacheList_KubePivot-4         	  117463	      9992 ns/op	    8192 B/op	       1 allocs/op
BenchmarkCacheList_KubePivot-4         	  113168	     10556 ns/op	    8192 B/op	       1 allocs/op
BenchmarkCacheList_KubePivot-4         	  121890	      9516 ns/op	    8192 B/op	       1 allocs/op
BenchmarkCacheList_KubePivot-4         	  120490	      9838 ns/op	    8192 B/op	       1 allocs/op
BenchmarkCacheList_KubePivot-4         	  118462	      9687 ns/op	    8192 B/op	       1 allocs/op
BenchmarkCacheList_KubePivot-4         	  120480	     26690 ns/op	    8192 B/op	       1 allocs/op
BenchmarkCacheList_KubePivot-4         	  118041	      9531 ns/op	    8192 B/op	       1 allocs/op
BenchmarkCacheList_KubePivot-4         	  117048	     10948 ns/op	    8192 B/op	       1 allocs/op
BenchmarkCacheList_KubePivot-4         	  113334	      9749 ns/op	    8192 B/op	       1 allocs/op
BenchmarkCacheListAll_ClientGo-4       	  152571	      6955 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheListAll_ClientGo-4       	  160558	      7336 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheListAll_ClientGo-4       	  159718	      7090 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheListAll_ClientGo-4       	  163996	      6982 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheListAll_ClientGo-4       	  163952	      7077 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheListAll_ClientGo-4       	  165140	      6814 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheListAll_ClientGo-4       	  166158	      7777 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheListAll_ClientGo-4       	  150073	      7780 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheListAll_ClientGo-4       	  148374	      7295 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheListAll_ClientGo-4       	  161660	      7581 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCacheListAll_KubePivot-4      	  169761	      7726 ns/op	    8192 B/op	       1 allocs/op
BenchmarkCacheListAll_KubePivot-4      	  180895	      6442 ns/op	    8192 B/op	       1 allocs/op
BenchmarkCacheListAll_KubePivot-4      	  184785	      6485 ns/op	    8192 B/op	       1 allocs/op
BenchmarkCacheListAll_KubePivot-4      	  183092	      7354 ns/op	    8192 B/op	       1 allocs/op
BenchmarkCacheListAll_KubePivot-4      	  176556	      7242 ns/op	    8192 B/op	       1 allocs/op
BenchmarkCacheListAll_KubePivot-4      	  178016	      7228 ns/op	    8192 B/op	       1 allocs/op
BenchmarkCacheListAll_KubePivot-4      	  157041	      8300 ns/op	    8192 B/op	       1 allocs/op
BenchmarkCacheListAll_KubePivot-4      	  169533	      8055 ns/op	    8192 B/op	       1 allocs/op
BenchmarkCacheListAll_KubePivot-4      	  182523	      7122 ns/op	    8192 B/op	       1 allocs/op
BenchmarkCacheListAll_KubePivot-4      	  133410	      7694 ns/op	    8192 B/op	       1 allocs/op
BenchmarkColdStart_ClientGo-4          	      18	  61758065 ns/op	34920976 B/op	  517027 allocs/op
BenchmarkColdStart_ClientGo-4          	      19	  59928314 ns/op	34921381 B/op	  517027 allocs/op
BenchmarkColdStart_ClientGo-4          	      19	  61410002 ns/op	34921015 B/op	  517027 allocs/op
BenchmarkColdStart_ClientGo-4          	      19	  59373228 ns/op	34921444 B/op	  517027 allocs/op
BenchmarkColdStart_ClientGo-4          	      19	  62027557 ns/op	34920961 B/op	  517027 allocs/op
BenchmarkColdStart_ClientGo-4          	      19	  68060496 ns/op	34920949 B/op	  517027 allocs/op
BenchmarkColdStart_ClientGo-4          	      15	  81485756 ns/op	34921067 B/op	  517027 allocs/op
BenchmarkColdStart_ClientGo-4          	      19	  61503092 ns/op	34921386 B/op	  517027 allocs/op
BenchmarkColdStart_ClientGo-4          	      19	  59687094 ns/op	34920951 B/op	  517027 allocs/op
BenchmarkColdStart_ClientGo-4          	      18	  64931225 ns/op	34920977 B/op	  517027 allocs/op
BenchmarkColdStart_KubePivot-4         	      24	  50427727 ns/op	26048160 B/op	   94197 allocs/op
BenchmarkColdStart_KubePivot-4         	      21	  49725921 ns/op	26047806 B/op	   94197 allocs/op
BenchmarkColdStart_KubePivot-4         	      26	  45220179 ns/op	26048440 B/op	   94197 allocs/op
BenchmarkColdStart_KubePivot-4         	      25	  44855965 ns/op	26047806 B/op	   94197 allocs/op
BenchmarkColdStart_KubePivot-4         	      26	  44460708 ns/op	26047814 B/op	   94197 allocs/op
BenchmarkColdStart_KubePivot-4         	      26	  44075109 ns/op	26047806 B/op	   94197 allocs/op
BenchmarkColdStart_KubePivot-4         	      26	  44465577 ns/op	26047818 B/op	   94197 allocs/op
BenchmarkColdStart_KubePivot-4         	      25	 142720218 ns/op	26048461 B/op	   94197 allocs/op
BenchmarkColdStart_KubePivot-4         	      25	  45448633 ns/op	26051104 B/op	   94197 allocs/op
BenchmarkColdStart_KubePivot-4         	      26	  44808930 ns/op	26047814 B/op	   94197 allocs/op
BenchmarkColdStart_ClientGo_10000-4    	       2	 656400146 ns/op	348927040 B/op	 5170088 allocs/op
BenchmarkColdStart_ClientGo_10000-4    	       2	 721808666 ns/op	348912624 B/op	 5170086 allocs/op
